year,commercial,private,total_sales
1976-08-01,2696.6,6686.2,9383.0
1976-09-01,2935.3,7065.0,10000.0
1976-10-01,2702.9,6733.5,9436.0
1976-11-01,2788.8,7104.6,9893.0
1976-12-01,3161.7,7752.7,10914.0
1977-01-01,3103.7,7453.8,10558.0
1977-02-01,3172.5,7564.3,10737.0
1977-03-01,3306.1,7836.2,11142.0
1977-04-01,3313.6,7804.5,11118.0
1977-05-01,3277.6,7805.8,11083.0
1977-06-01,3302.9,7889.7,11193.0
1977-07-01,3146.4,7770.0,10916.0
1977-08-01,3279.2,7718.9,10998.0
1977-09-01,3117.6,7597.1,10715.0
1977-10-01,3307.5,7498.5,10806.0
1977-11-01,3332.5,7346.3,10679.0
1977-12-01,3374.8,7595.3,10970.0
1978-01-01,3137.0,6807.8,9945.0
1978-02-01,3197.9,7121.1,10319.0
1978-03-01,3469.4,7337.5,10807.0
1978-04-01,3622.9,8012.0,11635.0
1978-05-01,3553.4,8098.4,11652.0
1978-06-01,3565.1,8092.6,11658.0
1978-07-01,3450.3,7463.5,10914.0
1978-08-01,3617.0,7869.9,11487.0
1978-09-01,3365.0,7280.1,10645.0
1978-10-01,3624.4,7617.8,11242.0
1978-11-01,3554.5,7387.9,10942.0
1978-12-01,3528.7,7391.1,10920.0
1979-01-01,3484.0,7316.4,10800.0
1979-02-01,3549.9,7561.7,11112.0
1979-03-01,3481.5,7733.0,11214.0
1979-04-01,3618.2,7126.4,10745.0
1979-05-01,3281.6,7373.8,10655.0
1979-06-01,2979.6,6505.7,9485.0
1979-07-01,3357.7,7105.0,10463.0
1979-08-01,3516.7,7127.8,10644.0
1979-09-01,3228.0,7344.5,10572.0
1979-10-01,2758.5,6719.5,9478.0
1979-11-01,2753.0,6854.4,9607.0
1979-12-01,2941.3,7290.7,10232.0
1980-01-01,3254.9,7934.5,11189.0
1980-02-01,3038.2,7310.3,10348.0
1980-03-01,2942.7,6447.9,9391.0
1980-04-01,2577.6,5408.5,7986.0
1980-05-01,2332.1,4910.6,7243.0
1980-06-01,2502.1,5332.2,7834.0
1980-07-01,2724.1,6098.1,8822.0
1980-08-01,2670.7,5863.0,8534.0
1980-09-01,2654.7,5922.7,8577.0
1980-10-01,2688.5,6284.7,8973.0
1980-11-01,2931.3,5838.9,8770.0
1980-12-01,2777.7,5844.6,8622.0
1981-01-01,2852.7,6049.8,8902.0
1981-02-01,3115.6,6747.6,9863.0
1981-03-01,3047.2,6998.7,10046.0
1981-04-01,2526.9,5412.2,7939.0
1981-05-01,2731.5,5232.2,7964.0
1981-06-01,2687.2,5279.6,7967.0
1981-07-01,2707.1,5393.6,8101.0
1981-08-01,3278.0,6683.7,9962.0
1981-09-01,3003.0,5748.5,8752.0
1981-10-01,2536.5,4668.3,7205.0
1981-11-01,2487.2,4781.9,7269.0
1981-12-01,2399.2,4673.8,7073.0
1982-01-01,2581.9,5103.0,7685.0
1982-02-01,2709.2,5518.7,8228.0
1982-03-01,2449.7,5364.8,7814.0
1982-04-01,2437.5,4809.1,7247.0
1982-05-01,2708.0,5603.7,8312.0
1982-06-01,2365.6,4852.4,7218.0
1982-07-01,2514.9,4764.3,7279.0
1982-08-01,2478.3,4928.6,7407.0
1982-09-01,2846.8,5522.8,8370.0
1982-10-01,2458.8,5150.5,7609.0
1982-11-01,2836.9,6018.4,8855.0
1982-12-01,2611.4,5906.7,8518.0
1983-01-01,2629.9,5525.0,8155.0
1983-02-01,2859.5,5217.4,8077.0
1983-03-01,2608.5,5566.0,8174.0
1983-04-01,2798.2,5831.9,8630.0
1983-05-01,2796.9,6147.8,8945.0
1983-06-01,2996.4,6698.3,9695.0
1983-07-01,3061.2,6499.7,9561.0
1983-08-01,2947.1,5978.4,8926.0
1983-09-01,3214.2,5646.6,8861.0
1983-10-01,3392.4,6395.5,9788.0
1983-11-01,3334.6,6166.3,9501.0
1983-12-01,3602.6,6889.5,10492.0
1984-01-01,3550.1,6777.7,10328.0
1984-02-01,3767.3,6706.6,10474.0
1984-03-01,3472.5,6559.5,10032.0
1984-04-01,3752.4,6349.0,10101.0
1984-05-01,3735.5,6848.5,10584.0
1984-06-01,3700.9,6683.8,10385.0
1984-07-01,3761.3,6617.8,10379.0
1984-08-01,3664.5,6428.1,10093.0
1984-09-01,3890.9,6004.3,9895.0
1984-10-01,3640.0,6419.9,10060.0
1984-11-01,3537.2,6640.4,10178.0
1984-12-01,3474.9,7050.2,10525.0
1985-01-01,3675.4,6907.4,10583.0
1985-02-01,3779.3,6920.4,10700.0
1985-03-01,3773.4,6831.5,10605.0
1985-04-01,3734.3,7064.8,10799.0
1985-05-01,3851.3,7093.6,10945.0
1985-06-01,3716.2,6592.5,10309.0
1985-07-01,3555.2,6696.1,10251.0
1985-08-01,4206.8,7924.8,12132.0
1985-09-01,4632.4,9388.9,14021.0
1985-10-01,3214.9,6129.4,9344.0
1985-11-01,3408.1,6310.2,9718.0
1985-12-01,3502.9,7239.8,10743.0
1986-01-01,3657.4,7543.4,11201.0
1986-02-01,3728.5,6921.4,10650.0
1986-03-01,3448.8,6358.3,9807.0
1986-04-01,3739.8,7160.9,10901.0
1986-05-01,3758.5,7461.5,11220.0
1986-06-01,3796.4,7269.7,11066.0
1986-07-01,3617.6,7110.0,10728.0
1986-08-01,3996.1,7934.7,11931.0
1986-09-01,4296.5,10635.3,14932.0
1986-10-01,2811.2,7322.3,10134.0
1986-11-01,3885.2,6234.5,10120.0
1986-12-01,3672.7,8994.0,12667.0
1987-01-01,2764.4,5495.7,8260.0
1987-02-01,3647.8,6443.7,10092.0
1987-03-01,3411.9,6797.9,10210.0
1987-04-01,3446.2,6796.4,10243.0
1987-05-01,3336.6,6171.4,9508.0
1987-06-01,3407.9,6715.7,10124.0
1987-07-01,34462.1,6926.4,41388.0
1987-08-01,3846.9,7817.9,11665.0
1987-09-01,3590.3,7406.5,10997.0
1987-10-01,3126.5,5973.3,9100.0
1987-11-01,3357.3,6064.3,9422.0
1987-12-01,3610.1,6892.1,10502.0
1988-01-01,3566.8,7208.9,10776.0
1988-02-01,3824.5,7119.3,10944.0
1988-03-01,3636.5,7051.3,10688.0
1988-04-01,3559.6,6719.2,10279.0
1988-05-01,3686.8,6767.6,10454.0
1988-06-01,3786.9,6861.1,10648.0
1988-07-01,3624.9,6619.7,10245.0
1988-08-01,3751.7,6407.2,10159.0
1988-09-01,3644.8,6202.3,9847.0
1988-10-01,3458.3,6308.1,9766.0
1988-11-01,3432.0,6589.5,10022.0
1988-12-01,4051.8,7096.2,11148.0
1989-01-01,3167.6,6777.0,9945.0
1989-02-01,3376.0,6340.0,9716.0
1989-03-01,3321.5,6252.1,9574.0
1989-04-01,3659.4,6927.9,10587.0
1989-05-01,4083.8,6004.6,10088.0
1989-06-01,3191.3,6180.0,9371.0
1989-07-01,3141.2,6470.0,9611.0
1989-08-01,3619.7,7339.4,10959.0
1989-09-01,3581.3,6625.5,10207.0
1989-10-01,31176.1,5543.5,36720.0
1989-11-01,3035.8,5421.0,8457.0
1989-12-01,3050.7,5568.5,8619.0
1990-01-01,3499.4,6806.2,10306.0
1990-02-01,3307.1,6047.1,9354.0
1990-03-01,3332.8,5992.1,9325.0
1990-04-01,3294.7,5924.1,9219.0
1990-05-01,3386.2,5684.9,9071.0
1990-06-01,3381.0,5719.8,9101.0
1990-07-01,3295.7,5742.6,9038.0
1990-08-01,3579.7,5477.0,9057.0
1990-09-01,3974.6,5547.5,9522.0
1990-10-01,3638.1,5307.3,8945.0
1990-11-01,3336.1,5047.8,8384.0
1990-12-01,3699.3,4822.5,8522.0
1991-01-01,3770.9,3815.4,7586.0
1991-02-01,3556.7,4444.5,8001.0
1991-03-01,3430.4,5015.1,8446.0
1991-04-01,3171.7,4590.7,7762.0
1991-05-01,4017.2,4083.3,8100.0
1991-06-01,3700.2,4535.4,8236.0
1991-07-01,3847.9,4593.0,8441.0
1991-08-01,3865.3,4252.4,8118.0
1991-09-01,3781.2,4479.0,8260.0
1991-10-01,3578.4,4410.9,7989.0
1991-11-01,3634.0,4474.0,8108.0
1991-12-01,3420.2,4397.9,7818.0
1992-01-01,3280.6,4730.0,8011.0
1992-02-01,3579.0,4719.4,8298.0
1992-03-01,3447.0,4620.9,8068.0
1992-04-01,3366.7,4371.1,7738.0
1992-05-01,3510.9,4600.8,8112.0
1992-06-01,3971.2,4489.0,8460.0
1992-07-01,3559.0,4478.4,8037.0
1992-08-01,3308.8,4448.6,7757.0
1992-09-01,3434.3,4614.0,8048.0
1992-10-01,3543.8,4622.6,8166.0
1992-11-01,3557.7,4477.6,8035.0
1992-12-01,3793.8,4617.4,8411.0
1993-01-01,3549.5,4596.9,8146.0
1993-02-01,3222.5,4365.1,7588.0
1993-03-01,34994.1,4289.1,39283.0
1993-04-01,3907.6,4707.8,8615.0
1993-05-01,3850.1,4728.0,8578.0
1993-06-01,4014.7,4462.5,8477.0
1993-07-01,3784.4,4690.5,8475.0
1993-08-01,3354.1,4568.0,7922.0
1993-09-01,3421.6,4659.8,8081.0
1993-10-01,3756.4,5112.0,8868.0
1993-11-01,3797.2,4983.8,8781.0
1993-12-01,3903.9,4713.2,8617.0
1994-01-01,4081.6,4728.5,8810.0
1994-02-01,4273.6,4695.0,8969.0
1994-03-01,4123.9,4775.0,8899.0
1994-04-01,4304.3,4978.9,9283.0
1994-05-01,3920.5,4469.4,8390.0
1994-06-01,4069.6,4482.7,8552.0
1994-07-01,3883.8,4546.1,8430.0
1994-08-01,4236.5,4473.7,8710.0
1994-09-01,4235.2,4402.5,8638.0
1994-10-01,4271.8,4585.4,8857.0
1994-11-01,4350.4,4566.3,8917.0
1994-12-01,4446.7,4495.3,8942.0
1995-01-01,4057.4,4162.3,8220.0
1995-02-01,4088.0,4205.9,8294.0
1995-03-01,4170.5,4322.8,8493.0
1995-04-01,3711.3,4113.7,7825.0
1995-05-01,3947.8,4326.1,8274.0
1995-06-01,4158.2,4425.1,8583.0
1995-07-01,3946.2,4216.8,8163.0
1995-08-01,4356.3,4404.0,8760.0
1995-09-01,4251.5,4358.2,8610.0
1995-10-01,4025.4,4270.1,8296.0
1995-11-01,4014.1,4409.3,8423.0
1995-12-01,3988.6,4616.6,8605.0
1996-01-01,3751.0,4033.9,7785.0
1996-02-01,4056.0,4300.7,8357.0
1996-03-01,4352.5,4439.5,8792.0
1996-04-01,4344.2,4139.2,8483.0
1996-05-01,4460.8,4396.7,8858.0
1996-06-01,4285.0,4032.4,8317.0
1996-07-01,4217.9,3924.5,8142.0
1996-08-01,4414.0,3848.9,8263.0
1996-09-01,4551.1,3852.7,8404.0
1996-10-01,3998.2,3869.0,7867.0
1996-11-01,4216.1,3849.3,8065.0
1996-12-01,3720.6,3984.0,7705.0
1997-01-01,4293.9,4102.2,8396.0
1997-02-01,4196.0,3858.4,8054.0
1997-03-01,4363.7,3896.8,8260.0
1997-04-01,4316.0,3558.1,7874.0
1997-05-01,3952.0,3790.6,7743.0
1997-06-01,4043.4,3545.1,7588.0
1997-07-01,4263.1,3944.0,8207.0
1997-08-01,4263.6,4107.2,8371.0
1997-09-01,3824.4,3863.8,7688.0
1997-10-01,3947.9,3787.7,7736.0
1997-11-01,3931.8,3901.1,7833.0
1997-12-01,4262.5,4218.3,8481.0
1998-01-01,3590.2,3692.6,7283.0
1998-02-01,3858.3,3789.8,7648.0
1998-03-01,3987.6,3770.2,7758.0
1998-04-01,3736.5,4012.8,7749.0
1998-05-01,4172.3,4205.7,8378.0
1998-06-01,4075.6,4109.8,8185.0
1998-07-01,3417.4,3664.4,7082.0
1998-08-01,3542.3,3863.5,7406.0
1998-09-01,3977.3,4037.3,8015.0
1998-10-01,4400.3,4054.8,8455.0
1998-11-01,3888.1,3796.4,7684.0
1998-12-01,4317.3,4435.2,8752.0
1999-01-01,3945.7,3950.9,7897.0
1999-02-01,4137.9,4164.2,8302.0
1999-03-01,38838.1,4242.5,43081.0
1999-04-01,4058.0,4217.5,8276.0
1999-05-01,4167.4,4436.7,8604.0
1999-06-01,3939.3,4480.7,8420.0
1999-07-01,4215.6,4362.1,8578.0
1999-08-01,4121.4,4485.9,8607.0
1999-09-01,4049.1,4324.2,8373.0
1999-10-01,3838.2,4545.4,8384.0
1999-11-01,4065.7,4490.9,8557.0
1999-12-01,4140.7,4607.6,8748.0
2000-01-01,4271.1,4831.1,9102.0
2000-02-01,4400.6,4972.5,9373.0
2000-03-01,3956.1,4819.4,8776.0
2000-04-01,3964.0,4732.7,8697.0
2000-05-01,3864.8,4803.4,8668.0
2000-06-01,3884.6,4655.3,8540.0
2000-07-01,3729.9,4633.8,8364.0
2000-08-01,3782.5,4552.1,8335.0
2000-09-01,4011.0,4629.8,8641.0
2000-10-01,3869.7,4587.9,8458.0
2000-11-01,3732.2,4340.4,8073.0
2000-12-01,3500.1,4114.4,7614.0
2001-01-01,3977.9,4560.3,8538.0
2001-02-01,3985.1,4732.9,8718.0
2001-03-01,3616.1,4450.3,8066.0
2001-04-01,3816.0,4279.7,8096.0
2001-05-01,3825.1,4221.0,8046.0
2001-06-01,3595.5,4475.5,8071.0
2001-07-01,3515.7,4063.2,7579.0
2001-08-01,3323.6,4150.7,7474.0
2001-09-01,3417.3,4102.3,7520.0
2001-10-01,3829.1,6363.6,10193.0
2001-11-01,2860.9,5259.5,8120.0
2001-12-01,2696.8,4436.6,7133.0
2002-01-01,2722.8,4700.5,7423.0
2002-02-01,3175.4,4674.6,7850.0
2002-03-01,3504.0,4427.8,7932.0
2002-04-01,3714.2,4543.7,8258.0
2002-05-01,3422.8,4197.9,7621.0
2002-06-01,3548.4,4237.7,7786.0
2002-07-01,37524.1,4502.6,42027.0
2002-08-01,3599.2,4730.1,8329.0
2002-09-01,3143.4,4524.0,7667.0
2002-10-01,3189.4,4148.9,7338.0
2002-11-01,3156.7,4433.5,7590.0
2002-12-01,3198.8,4640.1,7839.0
2003-01-01,3261.0,4567.4,7828.0
2003-02-01,3053.1,4196.6,7250.0
2003-03-01,3075.6,4303.0,7379.0
2003-04-01,2939.5,4245.4,7185.0
2003-05-01,2918.2,4136.9,7055.0
2003-06-01,3151.8,4289.2,7441.0
2003-07-01,3081.3,4281.2,7362.0
2003-08-01,2961.1,4634.3,7595.0
2003-09-01,3246.3,4148.3,7395.0
2003-10-01,2822.5,4195.7,7018.0
2003-11-01,3081.4,4461.9,7543.0
2003-12-01,3005.6,4229.1,7235.0
2004-01-01,2651.1,4248.7,6900.0
2004-02-01,2980.8,4386.6,7367.0
2004-03-01,3032.0,4438.7,7471.0
2004-04-01,2965.3,4109.0,7074.0
2004-05-01,3347.1,4322.1,7669.0
2004-06-01,2994.6,4061.4,7056.0
2004-07-01,3136.3,4083.3,7220.0
2004-08-01,3085.0,4039.7,7125.0
2004-09-01,3012.3,4138.2,7150.0
2004-10-01,3109.1,4240.2,7349.0
2004-11-01,3018.7,4312.7,7331.0
2004-12-01,3318.1,4509.2,7827.0
2005-01-01,3046.5,4146.2,7193.0
2005-02-01,31412.1,4167.8,35580.0
2005-03-01,3148.1,4383.3,7531.0
2005-04-01,3015.8,4793.6,7809.0
2005-05-01,3159.6,4142.2,7302.0
2005-06-01,3015.6,4236.3,7252.0
2005-07-01,3119.7,4641.5,7761.0
2005-08-01,3130.4,4443.6,7574.0
2005-09-01,3272.7,4448.6,7721.0
2005-10-01,3118.0,4087.2,7205.0
2005-11-01,3361.3,4056.0,7417.0
2005-12-01,3276.3,3975.3,7252.0
2006-01-01,3721.8,4714.7,8436.0
2006-02-01,3195.9,4178.7,7375.0
2006-03-01,3146.0,4086.3,7232.0
2006-04-01,3271.7,4421.7,7693.0
2006-05-01,3026.9,4319.2,7346.0
2006-06-01,3100.4,4214.8,7315.0
2006-07-01,3223.6,4605.1,7829.0
2006-08-01,3025.2,4379.8,7405.0
2006-09-01,3154.8,4274.7,7430.0
2006-10-01,3117.4,4133.0,7250.0
2006-11-01,3182.2,4039.8,7222.0
2006-12-01,3519.7,4136.1,7656.0
2007-01-01,3221.5,4250.2,7472.0
2007-02-01,3252.4,4225.1,7478.0
2007-03-01,3072.9,4125.7,7199.0
2007-04-01,3132.3,4001.0,7133.0
2007-05-01,3236.6,4336.4,7573.0
2007-06-01,3248.4,4049.5,7298.0
2007-07-01,3198.9,3792.7,6992.0
2007-08-01,3272.0,3837.7,7110.0
2007-09-01,3223.8,4092.6,7316.0
2007-10-01,3182.0,4085.7,7268.0
2007-11-01,3536.8,4114.8,7652.0
2007-12-01,3314.4,4038.0,7352.0
2008-01-01,2922.9,4249.5,7172.0
2008-02-01,2967.3,3988.9,6956.0
2008-03-01,3077.3,3948.0,7025.0
2008-04-01,2963.4,4112.8,7076.0
2008-05-01,3100.9,4627.0,7728.0
2008-06-01,3088.2,4449.3,7538.0
2008-07-01,3009.1,3772.4,6782.0
2008-08-01,2917.8,3766.6,6684.0
2008-09-01,2751.0,3425.1,6176.0
2008-10-01,2431.4,3065.7,5497.0
2008-11-01,2205.1,2712.2,4917.0
2008-12-01,2217.7,2714.8,4932.0
2009-01-01,1645.2,2797.4,4443.0
2009-02-01,1548.9,2677.4,4226.0
2009-03-01,1677.9,2829.7,4508.0
2009-04-01,2024.4,2483.0,4507.0
2009-05-01,1975.0,2843.3,4818.0
2009-06-01,1933.7,3055.5,4989.0
2009-07-01,2106.1,3960.2,6066.0
2009-08-01,2232.1,5801.6,8034.0
2009-09-01,1929.7,2864.7,4794.0
2009-10-01,2346.9,2858.6,5206.0
2009-11-01,2438.1,2937.6,5376.0
2009-12-01,2610.5,3053.0,5664.0
2010-01-01,2506.4,2733.7,5240.0
2010-02-01,2444.9,2529.1,4974.0
2010-03-01,2533.3,2968.3,5502.0
2010-04-01,2481.2,2835.0,5316.0
2010-05-01,2793.0,2696.9,5490.0
2010-06-01,2661.0,2793.1,5454.0
2010-07-01,2704.4,2910.0,5614.0
2010-08-01,2625.8,3010.2,5636.0
2010-09-01,2643.0,2983.2,5626.0
2010-10-01,2565.4,3069.4,5635.0
2010-11-01,2506.8,2988.1,5495.0
2010-12-01,2613.5,3150.4,5764.0
2011-01-01,24353.1,3217.6,27571.0
2011-02-01,2732.6,3349.2,6082.0
2011-03-01,2786.7,3588.2,6375.0
2011-04-01,2880.7,3450.2,6331.0
2011-05-01,2520.5,3179.9,5700.0
2011-06-01,2474.6,3028.6,5503.0
2011-07-01,2642.1,2976.8,5619.0
2011-08-01,2603.5,2959.9,5563.0
2011-09-01,2670.4,3165.6,5836.0
2011-10-01,2813.3,3438.2,6252.0
2011-11-01,2822.4,3384.6,6207.0
2011-12-01,2780.3,3394.9,6175.0
2012-01-01,3144.0,3821.1,6965.0
2012-02-01,3448.6,4140.4,7589.0
2012-03-01,3308.7,3941.2,7250.0
2012-04-01,3299.3,3933.2,7232.0
2012-05-01,3104.9,3761.1,6866.0
2012-06-01,3091.7,3683.7,6775.0
2012-07-01,3061.7,3708.4,6770.0
2012-08-01,3123.2,3729.7,6853.0
2012-09-01,3317.9,3927.3,7245.0
2012-10-01,3326.6,3812.7,7139.0
2012-11-01,3477.7,3949.8,7428.0
2012-12-01,3566.5,3824.6,7391.0
2013-01-01,3611.8,4088.4,7700.0
2013-02-01,3602.3,4021.4,7624.0
2013-03-01,3558.9,3820.5,7379.0
2013-04-01,3465.5,3875.2,7341.0
2013-05-01,3505.8,3817.3,7323.0
2013-06-01,3654.1,3889.0,7543.0
2013-07-01,3659.6,3879.3,7539.0
2013-08-01,3581.6,3920.4,7502.0
2013-09-01,3550.0,3925.0,7475.0
2013-10-01,3451.3,3857.4,7309.0
2013-11-01,3551.0,3909.0,7460.0
2013-12-01,3433.4,3940.7,7374.0
2014-01-01,3375.1,3685.0,7060.0
2014-02-01,3459.4,3658.5,7118.0
2014-03-01,3649.9,3903.2,7553.0
2014-04-01,3638.4,3786.9,7425.0
2014-05-01,3730.3,3911.1,7641.0
2014-06-01,3980.9,4018.2,7999.0
2014-07-01,3846.2,3926.2,7772.0
2014-08-01,3890.8,4021.9,7913.0
2014-09-01,3630.9,3829.8,7461.0
2014-10-01,3746.6,3764.3,7511.0
2014-11-01,36499.1,3842.6,40342.0
2014-12-01,3923.2,3826.6,7750.0
2015-01-01,3726.4,3542.2,7269.0
2015-02-01,36197.1,3481.4,39678.0
2015-03-01,3924.7,3740.5,7665.0
2015-04-01,3866.2,3537.8,7404.0
2015-05-01,4059.2,3579.7,7639.0
2015-06-01,3940.7,3612.7,7553.0
2015-07-01,4110.8,3460.2,7571.0
2015-08-01,3958.2,3641.9,7600.0
2015-09-01,3954.2,3442.5,7397.0
2015-10-01,4036.8,3389.7,7426.0
2015-11-01,3856.9,3390.0,7247.0
2015-12-01,3683.0,3272.8,6956.0
2016-01-01,3941.2,3123.2,7064.0
2016-02-01,3897.5,3163.5,7061.0
2016-03-01,3660.2,3049.4,6710.0
2016-04-01,3679.2,3037.3,6716.0
2016-05-01,3660.3,3098.5,6759.0
2016-06-01,3583.3,3134.3,6718.0
2016-07-01,3642.3,3165.3,6808.0
2016-08-01,3681.5,3036.3,6718.0
2016-09-01,3668.1,3169.6,6838.0
2016-10-01,3371.9,3163.5,6535.0
2016-11-01,3458.9,3133.4,6592.0
2016-12-01,3465.8,3230.2,6696.0
2017-01-01,3168.4,2987.3,6156.0
2017-02-01,3212.2,2959.8,6172.0
2017-03-01,3103.8,2873.9,5978.0
2017-04-01,3140.9,2938.4,6079.0
2017-05-01,3076.3,2862.3,5939.0
2017-06-01,2974.0,2792.6,5767.0
2017-07-01,2982.9,2897.9,5881.0
2017-08-01,3024.2,2836.7,5861.0
2017-09-01,3422.9,2844.8,6268.0
2017-10-01,3172.1,2903.8,6076.0
2017-11-01,3021.5,2880.3,5902.0
2017-12-01,2942.2,2702.8,5645.0
2018-01-01,2727.6,2633.9,5362.0
2018-02-01,2731.3,2694.5,5426.0
2018-03-01,2663.8,2559.7,5224.0
2018-04-01,2543.5,2637.7,5181.0
2018-05-01,2629.2,2651.0,5280.0
2018-06-01,25915.1,2598.1,28513.0
2018-07-01,2456.2,2640.9,5097.0
2018-08-01,2329.7,2665.4,4995.0
2018-09-01,2639.3,2521.7,5161.0
2018-10-01,2792.2,2638.8,5431.0
2018-11-01,2525.5,2594.3,5120.0
2018-12-01,2569.9,2512.4,5082.0
2019-01-01,2606.8,2509.4,5116.0
2019-02-01,2408.7,2281.0,4690.0
2019-03-01,2511.3,2302.6,4814.0
2019-04-01,2327.1,2331.8,4659.0
2019-05-01,2563.0,2149.8,4713.0
2019-06-01,2525.1,2278.2,4803.0
2019-07-01,2498.8,2081.8,4581.0
2019-08-01,2386.9,2128.4,4515.0
2019-09-01,2276.8,2232.9,4510.0
2019-10-01,2234.9,2078.1,4313.0
2019-11-01,2244.0,2080.7,4325.0
