,articles,clean,stemmed,lemmatized,polarity
18,"Since his first day in office, President Biden’s auto vision and leadership has positioned the United States to lead the EV future – to create jobs, make more in America, and fight climate change while advancing environmental justice. The President united automakers and autoworkers around the bold goal for electric vehicles to make up 50% of all vehicles sold in the United States by 2030. His economic agenda, including robust new “Made in America” policies, has spurred domestic manufacturing of EVs, EV chargers, and batteries. And, thanks to the Inflation Reduction Act, President Biden is making new and used EVs affordable for consumers and providing the auto industry market certainty.",since first day office president bidens auto vision leadership positioned united states lead ev future create jobs make america fight climate change advancing environmental justice president united automakers autoworkers around bold goal electric vehicles make 50 vehicles sold united states 2030 economic agenda including robust new made america policies spurred domestic manufacturing evs ev chargers batteries thanks inflation reduction act president biden making new used evs affordable consumers providing auto industry market certainty,sinc first day offic presid biden auto vision leadership posit unit state lead ev futur creat job make america fight climat chang advanc environment justic presid unit automak autowork around bold goal electr vehicl make 50 vehicl sold unit state 2030 econom agenda includ robust new made america polici spur domest manufactur ev ev charger batteri thank inflat reduct act presid biden make new use ev afford consum provid auto industri market certainti,since first day office president bidens auto vision leadership positioned united state lead ev future create job make america fight climate change advancing environmental justice president united automaker autoworkers around bold goal electric vehicle make 50 vehicle sold united state 2030 economic agenda including robust new made america policy spurred domestic manufacturing ev ev charger battery thanks inflation reduction act president biden making new used ev affordable consumer providing auto industry market certainty,0.15700757575757573
19,This manufacturing and jobs growth is being spurred by the President’s aggressive action to advance our EV future:  ,manufacturing jobs growth spurred presidents aggressive action advance ev future,manufactur job growth spur presid aggress action advanc ev futur,manufacturing job growth spurred president aggressive action advance ev future,0.05
20,"Since President Biden took office, companies have announced investments of more than $36 billion in electric vehicle manufacturing and $48 billion in batteries right here in the United States.",since president biden took office companies announced investments 36 billion electric vehicle manufacturing 48 billion batteries right united states,sinc presid biden took offic compani announc invest 36 billion electr vehicl manufactur 48 billion batteri right unit state,since president biden took office company announced investment 36 billion electric vehicle manufacturing 48 billion battery right united state,0.2857142857142857
21,Some new and recent example investments in the EV supply chain include:,new recent example investments ev supply chain include,new recent exampl invest ev suppli chain includ,new recent example investment ev supply chain include,0.06818181818181818
22,"President Biden’s economic plan and leadership are also driving automakers to create more models of electric vehicle than ever before for drivers to choose from – including trucks, SUVs, trucks, and more. In 2021, all major automakers announced their shared aspiration to achieve sales of 40-50% of annual U.S. volumes of electric vehicles (battery electric, fuel cell and plug-in hybrid vehicles) by 2030 in order to move the nation closer to a zero-emissions future consistent with Paris climate goals.",president bidens economic plan leadership also driving automakers create models electric vehicle ever drivers choose including trucks suvs trucks 2021 major automakers announced shared aspiration achieve sales 4050 annual us volumes electric vehicles battery electric fuel cell plugin hybrid vehicles 2030 order move nation closer zeroemissions future consistent paris climate goals,presid biden econom plan leadership also drive automak creat model electr vehicl ever driver choos includ truck suv truck 2021 major automak announc share aspir achiev sale 4050 annual us volum electr vehicl batteri electr fuel cell plugin hybrid vehicl 2030 order move nation closer zeroemiss futur consist pari climat goal,president bidens economic plan leadership also driving automaker create model electric vehicle ever driver choose including truck suv truck 2021 major automaker announced shared aspiration achieve sale 4050 annual u volume electric vehicle battery electric fuel cell plugin hybrid vehicle 2030 order move nation closer zeroemissions future consistent paris climate goal,0.128125
23,"At the Detroit Auto Show, the evidence of this shift is easy to see. For example, Stellantis will showcase two new hybrid electric Jeeps and demonstrate the performance of electric in off-road applications. General Motors will show their entire EV portfolio and feature the new electric Equinox. Dozens of other automakers will show off their latest offerings, both in new models and versions of iconic brands.",detroit auto show evidence shift easy see example stellantis showcase two new hybrid electric jeeps demonstrate performance electric offroad applications general motors show entire ev portfolio feature new electric equinox dozens automakers show latest offerings new models versions iconic brands,detroit auto show evid shift easi see exampl stellanti showcas two new hybrid electr jeep demonstr perform electr offroad applic gener motor show entir ev portfolio featur new electr equinox dozen automak show latest offer new model version icon brand,detroit auto show evidence shift easy see example stellantis showcase two new hybrid electric jeep demonstrate performance electric offroad application general motor show entire ev portfolio feature new electric equinox dozen automaker show latest offering new model version iconic brand,0.23655303030303032
24,"Overall, the number of available plug-in models has grown to more than 70, with more new models coming up, including affordable options.",overall number available plugin models grown 70 new models coming including affordable options,overal number avail plugin model grown 70 new model come includ afford option,overall number available plugin model grown 70 new model coming including affordable option,0.1787878787878788
25,"When Congress passed President Biden’s Bipartisan Infrastructure Law, the United States not only made a once-in-a-generation investment in our nation’s infrastructure – but it created a historic opportunity to increase domestic manufacturing in communities across the country.",congress passed president bidens bipartisan infrastructure law united states made onceinageneration investment nations infrastructure created historic opportunity increase domestic manufacturing communities across country,congress pass presid biden bipartisan infrastructur law unit state made onceinagener invest nation infrastructur creat histor opportun increas domest manufactur commun across countri,congress passed president bidens bipartisan infrastructure law united state made onceinageneration investment nation infrastructure created historic opportunity increase domestic manufacturing community across country,0.0
26,"By requiring the use of Made in America content, the Build America, Buy America provisions in the Bipartisan Infrastructure Law will help stimulate private sector investments in domestic manufacturing, bolster critical supply chains, and support the creation of good-paying union jobs so that America’s workers and firms can compete and lead globally for years to come.",requiring use made america content build america buy america provisions bipartisan infrastructure law help stimulate private sector investments domestic manufacturing bolster critical supply chains support creation goodpaying union jobs americas workers firms compete lead globally years come,requir use made america content build america buy america provis bipartisan infrastructur law help stimul privat sector invest domest manufactur bolster critic suppli chain support creation goodpay union job america worker firm compet lead global year come,requiring use made america content build america buy america provision bipartisan infrastructure law help stimulate private sector investment domestic manufacturing bolster critical supply chain support creation goodpaying union job america worker firm compete lead globally year come,-0.04
27,"The Biden Administration is taking decisive action to ensure that federal investments go to infrastructure built in the United States. For example, the Department of Transportation issued a proposal in August that would, if finalized, require federally-funded EV chargers to be built in the United States starting in January 2023 and have more than 55% domestic content by January 2024. Unlike in the past, Build America, Buy America waivers will not foreclose American manufacturing, but send clear market signals, creating an incentive for firms to invest in America and create good jobs in our communities.",biden administration taking decisive action ensure federal investments go infrastructure built united states example department transportation issued proposal august would finalized require federallyfunded ev chargers built united states starting january 2023 55 domestic content january 2024 unlike past build america buy america waivers foreclose american manufacturing send clear market signals creating incentive firms invest america create good jobs communities,biden administr take decis action ensur feder invest go infrastructur built unit state exampl depart transport issu propos august would final requir federallyfund ev charger built unit state start januari 2023 55 domest content januari 2024 unlik past build america buy america waiver foreclos american manufactur send clear market signal creat incent firm invest america creat good job commun,biden administration taking decisive action ensure federal investment go infrastructure built united state example department transportation issued proposal august would finalized require federallyfunded ev charger built united state starting january 2023 55 domestic content january 2024 unlike past build america buy america waiver foreclose american manufacturing send clear market signal creating incentive firm invest america create good job community,0.056249999999999994
28,"In addition, the proposed EV charging standards include strong workforce standards such as the Electric Vehicle Infrastructure Training Program (EVITP) to increase the safety and reliability of charging station’s functionality and usability – creating and supporting good-paying, highly-skilled union jobs across the country.  IBEW, through the White House Talent Pipeline Challenge, has launched a challenge to certify 10,000 IBEW electricians through the program.",addition proposed ev charging standards include strong workforce standards electric vehicle infrastructure training program evitp increase safety reliability charging stations functionality usability creating supporting goodpaying highlyskilled union jobs across country ibew white house talent pipeline challenge launched challenge certify 10000 ibew electricians program,addit propos ev charg standard includ strong workforc standard electr vehicl infrastructur train program evitp increas safeti reliabl charg station function usabl creat support goodpay highlyskil union job across countri ibew white hous talent pipelin challeng launch challeng certifi 10000 ibew electrician program,addition proposed ev charging standard include strong workforce standard electric vehicle infrastructure training program evitp increase safety reliability charging station functionality usability creating supporting goodpaying highlyskilled union job across country ibew white house talent pipeline challenge launched challenge certify 10000 ibew electrician program,0.13666666666666666
29,"The Federal fleet is now poised to lead by example. In 2020, less than 1% of new federal acquisitions were electric. In President Biden’s first year, EV acquisitions more than doubled. So far, this fiscal year, agencies have acquired five times as many EVs as all of last fiscal year and are on track for the goal for 100% of new light-duty federal vehicles to be zero emission by 2027.",federal fleet poised lead example 2020 less 1 new federal acquisitions electric president bidens first year ev acquisitions doubled far fiscal year agencies acquired five times many evs last fiscal year track goal 100 new lightduty federal vehicles zero emission 2027,feder fleet pois lead exampl 2020 less 1 new feder acquisit electr presid biden first year ev acquisit doubl far fiscal year agenc acquir five time mani ev last fiscal year track goal 100 new lightduti feder vehicl zero emiss 2027,federal fleet poised lead example 2020 le 1 new federal acquisition electric president bidens first year ev acquisition doubled far fiscal year agency acquired five time many ev last fiscal year track goal 100 new lightduty federal vehicle zero emission 2027,0.1871212121212121
30,###,,,,0.0
31,"Since President Biden took office, companies have invested nearly $85 billion in manufacturing of electric vehicles, batteries, and EV chargers in the United States.",since president biden took office companies invested nearly 85 billion manufacturing electric vehicles batteries ev chargers united states,sinc presid biden took offic compani invest nearli 85 billion manufactur electr vehicl batteri ev charger unit state,since president biden took office company invested nearly 85 billion manufacturing electric vehicle battery ev charger united state,0.1
32,"The pace of this investment is accelerating – just in 2022, companies have announced $13 billion in domestic EV manufacturing – more than triple the investment in 2020. Companies have also announced $24 billion in batteries – more than 28 times the investment in 2020 – and over $700 million to support EV charging.",pace investment accelerating 2022 companies announced 13 billion domestic ev manufacturing triple investment 2020 companies also announced 24 billion batteries 28 times investment 2020 700 million support ev charging,pace invest acceler 2022 compani announc 13 billion domest ev manufactur tripl invest 2020 compani also announc 24 billion batteri 28 time invest 2020 700 million support ev charg,pace investment accelerating 2022 company announced 13 billion domestic ev manufacturing triple investment 2020 company also announced 24 billion battery 28 time investment 2020 700 million support ev charging,0.0
33,The number of electric vehicles sold in the U.S. has tripled since the President took office.,number electric vehicles sold us tripled since president took office,number electr vehicl sold us tripl sinc presid took offic,number electric vehicle sold u tripled since president took office,0.0
34,The ,,,,0.0
35," invests $7.5 billion to build a national network of 500,000 EV chargers so that charging EVs is predictable, reliable and accessible; more than $7 billion to ensure domestic manufacturers have the critical minerals and other components necessary to make batteries; and over $10 billion for clean transit and school buses.",invests 75 billion build national network 500000 ev chargers charging evs predictable reliable accessible 7 billion ensure domestic manufacturers critical minerals components necessary make batteries 10 billion clean transit school buses,invest 75 billion build nation network 500000 ev charger charg ev predict reliabl access 7 billion ensur domest manufactur critic miner compon necessari make batteri 10 billion clean transit school buse,invests 75 billion build national network 500000 ev charger charging ev predictable reliable accessible 7 billion ensure domestic manufacturer critical mineral component necessary make battery 10 billion clean transit school bus,0.09027777777777779
36,The ,,,,0.0
37," provides incentives for buyers of new and used EVs, credits to help manufacturers retool existing facilities and build new manufacturing in the United States, and grants to deploy zero emission heavy-duty vehicles.",provides incentives buyers new used evs credits help manufacturers retool existing facilities build new manufacturing united states grants deploy zero emission heavyduty vehicles,provid incent buyer new use ev credit help manufactur retool exist facil build new manufactur unit state grant deploy zero emiss heavyduti vehicl,provides incentive buyer new used ev credit help manufacturer retool existing facility build new manufacturing united state grant deploy zero emission heavyduty vehicle,0.13636363636363635
38,The ,,,,0.0
39, will make critical investments in building domestic capacity for the semiconductors necessary for electric vehicles.,make critical investments building domestic capacity semiconductors necessary electric vehicles,make critic invest build domest capac semiconductor necessari electr vehicl,make critical investment building domestic capacity semiconductor necessary electric vehicle,0.0
40,"Toyota announced an additional $2.5 billion investment in a Greensboro, North Carolina manufacturing facility.",toyota announced additional 25 billion investment greensboro north carolina manufacturing facility,toyota announc addit 25 billion invest greensboro north carolina manufactur facil,toyota announced additional 25 billion investment greensboro north carolina manufacturing facility,0.0
41,Honda and LG Energy Solution announced a $4.4 billion joint venture in a to-be-announced location in the U.S.,honda lg energy solution announced 44 billion joint venture tobeannounced location us,honda lg energi solut announc 44 billion joint ventur tobeannounc locat us,honda lg energy solution announced 44 billion joint venture tobeannounced location u,0.0
42,"Ford Motor Company announced it will invest $3.7 billion in assembly plants in Michigan, Ohio and Missouri and create 6200 jobs.",ford motor company announced invest 37 billion assembly plants michigan ohio missouri create 6200 jobs,ford motor compani announc invest 37 billion assembl plant michigan ohio missouri creat 6200 job,ford motor company announced invest 37 billion assembly plant michigan ohio missouri create 6200 job,0.0
43,"Panasonic announced a $4 billion plant in De Soto, Kansas that will create 4,000 jobs.  Panasonic is also reportedly evaluating a similar investment in an additional new battery factory.",panasonic announced 4 billion plant de soto kansas create 4000 jobs panasonic also reportedly evaluating similar investment additional new battery factory,panason announc 4 billion plant de soto kansa creat 4000 job panason also reportedli evalu similar invest addit new batteri factori,panasonic announced 4 billion plant de soto kansa create 4000 job panasonic also reportedly evaluating similar investment additional new battery factory,0.06818181818181818
44,"Vinfast announced a more than $5 billion investment in building electric vehicles and batteries in North Carolina that will create 13,000 jobs.",vinfast announced 5 billion investment building electric vehicles batteries north carolina create 13000 jobs,vinfast announc 5 billion invest build electr vehicl batteri north carolina creat 13000 job,vinfast announced 5 billion investment building electric vehicle battery north carolina create 13000 job,0.0
45,"Hyundai announced a $5.5 billion investment to build electric vehicles and batteries near Savannah, Georgia",hyundai announced 55 billion investment build electric vehicles batteries near savannah georgia,hyundai announc 55 billion invest build electr vehicl batteri near savannah georgia,hyundai announced 55 billion investment build electric vehicle battery near savannah georgia,0.1
46,"Through DOE’s Advanced Technology Vehicle Manufacturing program, the Department of Energy announced a $2.5 billion loan in July 2022 to General Motors for battery manufacturing facilities in Ohio, Tennessee, and Michigan.",advanced technology vehicle manufacturing program department energy announced 25 billion loan july 2022 general motors battery manufacturing facilities ohio tennessee michigan,advanc technolog vehicl manufactur program depart energi announc 25 billion loan juli 2022 gener motor batteri manufactur facil ohio tennesse michigan,advanced technology vehicle manufacturing program department energy announced 25 billion loan july 2022 general motor battery manufacturing facility ohio tennessee michigan,0.22500000000000003
47,"Samsung SDI America is investing $3.1 billion in Kokomo, Indiana to build batteries in a joint venture with Stellantis.",samsung sdi america investing 31 billion kokomo indiana build batteries joint venture stellantis,samsung sdi america invest 31 billion kokomo indiana build batteri joint ventur stellanti,samsung sdi america investing 31 billion kokomo indiana build battery joint venture stellantis,0.0
48,"Piedmont Lithium announced a $582 million investment to establish a lithium hydroxide processing, refining, and manufacturing facility in Southeast Tennessee.",piedmont lithium announced 582 million investment establish lithium hydroxide processing refining manufacturing facility southeast tennessee,piedmont lithium announc 582 million invest establish lithium hydroxid process refin manufactur facil southeast tennesse,piedmont lithium announced 582 million investment establish lithium hydroxide processing refining manufacturing facility southeast tennessee,0.0
49,"Cirba Solutions, a battery recycling company, is announcing a new $200 million expansion of a lithium-ion battery recycling facility in Lancaster, Ohio and a goal to expand battery recycling by over 600%",cirba solutions battery recycling company announcing new 200 million expansion lithiumion battery recycling facility lancaster ohio goal expand battery recycling 600,cirba solut batteri recycl compani announc new 200 million expans lithiumion batteri recycl facil lancast ohio goal expand batteri recycl 600,cirba solution battery recycling company announcing new 200 million expansion lithiumion battery recycling facility lancaster ohio goal expand battery recycling 600,0.13636363636363635
50,ABB is ,abb,abb,abb,0.0
51," a new EV charging manufacturing facility in Columbia, South Carolina capable of producing up to 10,000 chargers per year.",new ev charging manufacturing facility columbia south carolina capable producing 10000 chargers per year,new ev charg manufactur facil columbia south carolina capabl produc 10000 charger per year,new ev charging manufacturing facility columbia south carolina capable producing 10000 charger per year,0.16818181818181818
52,"Lincoln Electric, a longstanding domestic manufacturer of electric equipment, announced a new line of DC fast chargers in Cleveland, Ohio on August 29",lincoln electric longstanding domestic manufacturer electric equipment announced new line dc fast chargers cleveland ohio august 29,lincoln electr longstand domest manufactur electr equip announc new line dc fast charger cleveland ohio august 29,lincoln electric longstanding domestic manufacturer electric equipment announced new line dc fast charger cleveland ohio august 29,0.11212121212121212
53,.,,,,0.0
54,", in a partnership with Delta Electronics and EVgo will invest $750 million in EV charging infrastructure, including at Pilot and Flying J truck stops and gas stations.",partnership delta electronics evgo invest 750 million ev charging infrastructure including pilot flying j truck stops gas stations,partnership delta electron evgo invest 750 million ev charg infrastructur includ pilot fli j truck stop ga station,partnership delta electronics evgo invest 750 million ev charging infrastructure including pilot flying j truck stop gas station,0.0
55,These investments are in addition to more than $700 ,investments addition 700,invest addit 700,investment addition 700,0.0
56,", including new manufacturing facilities by ChargePoint, Flo, Siemens, Tesla, and Tritium.",including new manufacturing facilities chargepoint flo siemens tesla tritium,includ new manufactur facil chargepoint flo siemen tesla tritium,including new manufacturing facility chargepoint flo siemens tesla tritium,0.13636363636363635
57,"In his State of the Union Address on Tuesday, President Joe Biden promoted electric vehicles (EVs), trumpeting his plans to establish “a national network of 500,000 electric vehicle charging stations.” In so doing, Biden is unwittingly supporting the worst humanitarian abuses in the world. This is because of the way in which the materials used in manufacturing the batteries that power today’s EVs are obtained.",state union address tuesday president joe biden promoted electric vehicles evs trumpeting plans establish national network 500000 electric vehicle charging stations biden unwittingly supporting worst humanitarian abuses world way materials used manufacturing batteries power todays evs obtained,state union address tuesday presid joe biden promot electr vehicl ev trumpet plan establish nation network 500000 electr vehicl charg station biden unwittingli support worst humanitarian abus world way materi use manufactur batteri power today ev obtain,state union address tuesday president joe biden promoted electric vehicle ev trumpeting plan establish national network 500000 electric vehicle charging station biden unwittingly supporting worst humanitarian abuse world way material used manufacturing battery power today ev obtained,-0.375
58,"To obtain a reasonable amount of power per pound of battery weight, EV manufacturers generally use various forms of lithium-ion (Li-ion) batteries, so named because the battery’s positive electrode, called the cathode, is largely made up of the highly reactive metal lithium (Li). To keep the cathode stable when a battery is not in use, the lithium is combined in a metal oxide matrix, with different manufacturers using different combinations of metals.",obtain reasonable amount power per pound battery weight ev manufacturers generally use various forms lithiumion liion batteries named batterys positive electrode called cathode largely made highly reactive metal lithium li keep cathode stable battery use lithium combined metal oxide matrix different manufacturers using different combinations metals,obtain reason amount power per pound batteri weight ev manufactur gener use variou form lithiumion liion batteri name batteri posit electrod call cathod larg made highli reactiv metal lithium li keep cathod stabl batteri use lithium combin metal oxid matrix differ manufactur use differ combin metal,obtain reasonable amount power per pound battery weight ev manufacturer generally use various form lithiumion liion battery named battery positive electrode called cathode largely made highly reactive metal lithium li keep cathode stable battery use lithium combined metal oxide matrix different manufacturer using different combination metal,0.1064448051948052
59,Most EV manufacturers ,ev manufacturers,ev manufactur,ev manufacturer,0.0
60,combine,combine,combin,combine,0.0
61," lithium with nickel, cobalt and manganese to create a Li-Ni-Mn-Co oxide matrix to form the cathode. Tesla substitutes aluminum (Al) for the manganese, yielding a Li-Ni-Co-Al oxide matrix for the cathode on their batteries. Tesla maintains that their formulae is more cost-effective as less cobalt is required.",lithium nickel cobalt manganese create linimnco oxide matrix form cathode tesla substitutes aluminum al manganese yielding linicoal oxide matrix cathode batteries tesla maintains formulae costeffective less cobalt required,lithium nickel cobalt manganes creat linimnco oxid matrix form cathod tesla substitut aluminum al manganes yield linico oxid matrix cathod batteri tesla maintain formula costeffect less cobalt requir,lithium nickel cobalt manganese create linimnco oxide matrix form cathode tesla substitute aluminum al manganese yielding linicoal oxide matrix cathode battery tesla maintains formula costeffective le cobalt required,0.0
62,"In all cases, the negative electrode, called the anode, in an EV battery is composed mostly of graphite.",cases negative electrode called anode ev battery composed mostly graphite,case neg electrod call anod ev batteri compos mostli graphit,case negative electrode called anode ev battery composed mostly graphite,0.1
63,"To support the huge EV expansion being promoted by Biden, we will need immense quantities of the materials needed to manufacture EV batteries, for example, lithium, cobalt, graphite, nickel, manganese and aluminum. Let’s consider the sources of just three of these substances—lithium, cobalt and graphite—to see where the human rights issues arise.",support huge ev expansion promoted biden need immense quantities materials needed manufacture ev batteries example lithium cobalt graphite nickel manganese aluminum lets consider sources three substanceslithium cobalt graphiteto see human rights issues arise,support huge ev expans promot biden need immens quantiti materi need manufactur ev batteri exampl lithium cobalt graphit nickel manganes aluminum let consid sourc three substanceslithium cobalt graphiteto see human right issu aris,support huge ev expansion promoted biden need immense quantity material needed manufacture ev battery example lithium cobalt graphite nickel manganese aluminum let consider source three substanceslithium cobalt graphiteto see human right issue arise,0.17142857142857143
64,"In a normal 1,000-pound Li-ion EV battery, there is about 25 pounds of lithium. Since lithium brines typically contain less than 0.1% lithium, about 25,000 pounds of brines are needed to get the 25 pounds of pure lithium. This is mainly extracted from Tibet and the highlands of Argentina-Bolivia-Chile (according to the U.S. Geological Survey, 58% of the world’s lithium reserves are found in Chile) known as the “lithium triangle.” Lithium production in Tibet results in dead, toxic fish, and carcasses of cows and yaks floating down the Liqi River. The Ganzizhou Rongda Li mine in Tibet has thoroughly poisoned this river.",normal 1000pound liion ev battery 25 pounds lithium since lithium brines typically contain less 01 lithium 25000 pounds brines needed get 25 pounds pure lithium mainly extracted tibet highlands argentinaboliviachile according us geological survey 58 worlds lithium reserves found chile known lithium triangle lithium production tibet results dead toxic fish carcasses cows yaks floating liqi river ganzizhou rongda li mine tibet thoroughly poisoned river,normal 1000pound liion ev batteri 25 pound lithium sinc lithium brine typic contain less 01 lithium 25000 pound brine need get 25 pound pure lithium mainli extract tibet highland argentinaboliviachil accord us geolog survey 58 world lithium reserv found chile known lithium triangl lithium product tibet result dead toxic fish carcass cow yak float liqi river ganzizh rongda li mine tibet thoroughli poison river,normal 1000pound liion ev battery 25 pound lithium since lithium brine typically contain le 01 lithium 25000 pound brine needed get 25 pound pure lithium mainly extracted tibet highland argentinaboliviachile according u geological survey 58 world lithium reserve found chile known lithium triangle lithium production tibet result dead toxic fish carcass cow yak floating liqi river ganzizhou rongda li mine tibet thoroughly poisoned river,0.005158730158730154
65,"Similarly, native peoples in the lithium triangle face contaminated streams needed for human consumption, livestock watering, irrigation systems with mountains left desolate over discarded salt from the lithium brining process. A report titled, “",similarly native peoples lithium triangle face contaminated streams needed human consumption livestock watering irrigation systems mountains left desolate discarded salt lithium brining process report titled,similarli nativ peopl lithium triangl face contamin stream need human consumpt livestock water irrig system mountain left desol discard salt lithium brine process report titl,similarly native people lithium triangle face contaminated stream needed human consumption livestock watering irrigation system mountain left desolate discarded salt lithium brining process report titled,0.0
