,ds,y,yhat1,residual1,trend,season_yearly
89,2010-01-01 00:00:00.000002009,,16235.3310546875,,23858.072265625,-7622.7421875
90,2011-01-01 00:00:00.000002009,,16508.45703125,,24157.28515625,-7648.826171875
91,2012-01-01 00:00:00.000002009,,16780.150390625,,24456.5,-7676.3486328125
92,2013-01-01 00:00:00.000002009,,17158.3828125,,24756.53515625,-7598.1533203125
93,2014-01-01 00:00:00.000002009,,17433.005859375,,25055.748046875,-7622.7421875
94,2015-01-01 00:00:00.000002009,,17706.13671875,,25354.962890625,-7648.826171875
95,2016-01-01 00:00:00.000002009,,17977.828125,,25654.177734375,-7676.3486328125
96,2017-01-01 00:00:00.000002009,,18356.05859375,,25954.2109375,-7598.1533203125
97,2018-01-01 00:00:00.000002009,,18630.68359375,,26253.42578125,-7622.7421875
98,2019-01-01 00:00:00.000002009,,18903.8125,,26552.640625,-7648.826171875
99,2020-01-01 00:00:00.000002009,,19175.5078125,,26851.85546875,-7676.3486328125
100,2021-01-01 00:00:00.000002009,,19553.73828125,,27151.890625,-7598.1533203125
101,2022-01-01 00:00:00.000002009,,19828.361328125,,27451.103515625,-7622.7421875
102,2023-01-01 00:00:00.000002009,,20101.4921875,,27750.318359375,-7648.826171875
103,2024-01-01 00:00:00.000002009,,20373.18359375,,28049.533203125,-7676.3486328125
104,2025-01-01 00:00:00.000002009,,20751.416015625,,28349.568359375,-7598.1533203125
105,2026-01-01 00:00:00.000002009,,21026.0390625,,28648.78125,-7622.7421875
106,2027-01-01 00:00:00.000002009,,21299.16796875,,28947.99609375,-7648.826171875
107,2028-01-01 00:00:00.000002009,,21570.861328125,,29247.2109375,-7676.3486328125
108,2029-01-01 00:00:00.000002009,,21949.08984375,,29547.244140625,-7598.1533203125
109,2030-01-01 00:00:00.000002009,,22223.716796875,,29846.458984375,-7622.7421875
110,2031-01-01 00:00:00.000002009,,22496.845703125,,30145.673828125,-7648.826171875
111,2032-01-01 00:00:00.000002009,,22768.537109375,,30444.88671875,-7676.3486328125
112,2033-01-01 00:00:00.000002009,,23146.767578125,,30744.921875,-7598.1533203125
113,2034-01-01 00:00:00.000002009,,23421.39453125,,31044.13671875,-7622.7421875
114,2035-01-01 00:00:00.000002009,,23694.5234375,,31343.3515625,-7648.826171875
